distancia_inicio_m,distancia_fin_m,lat,lon,diametro,espesor,SMYS,tasa_corrosion_mm_ano
2854.408,2862.962,3.781178504,-71.47281811,460,6.35,42000,0.1
2862.962,2874.998,3.781174978,-71.472899,460,6.35,42000,0.1
2874.998,2878.292,3.781170018,-71.47301282,460,6.35,42000,0.1
2878.292,2890.34,3.78116866,-71.47304396,460,6.35,42000,0.1
2890.34,2899.713,3.781163509,-71.47315789,460,6.35,42000,0.1
2899.713,2911.693,3.78115936,-71.47324651,460,6.35,42000,0.1
2911.693,2923.711,3.781154046,-71.47335978,460,6.35,42000,0.1
2923.711,2934.279,3.78114851,-71.4734734,460,6.35,42000,0.1
2934.279,2945.915,3.781143079,-71.47357328,460,6.35,42000,0.1
2945.915,2957.917,3.781137099,-71.47368326,460,6.35,42000,0.1
2957.917,2969.906,3.781130931,-71.4737967,460,6.35,42000,0.1
2969.906,2981.882,3.781124506,-71.47391,460,6.35,42000,0.1
2981.882,2993.883,3.781117622,-71.47402315,460,6.35,42000,0.1
2993.883,3005.929,3.781110764,-71.47413653,460,6.35,42000,0.1
3005.929,3017.959,3.781103995,-71.47425035,460,6.35,42000,0.1
3017.959,3029.922,3.781097267,-71.47436402,460,6.35,42000,0.1
3029.922,3041.889,3.781090786,-71.47447707,460,6.35,42000,0.1
3041.889,3053.897,3.781084803,-71.47459019,460,6.35,42000,0.1
3053.897,3065.933,3.781078847,-71.47470369,460,6.35,42000,0.1
3065.933,3077.92,3.781072879,-71.47481746,460,6.35,42000,0.1
3077.92,3089.863,3.781066935,-71.47493077,460,6.35,42000,0.1
3089.863,3101.842,3.781061012,-71.47504366,460,6.35,42000,0.1
3101.842,3105.77,3.781055616,-71.47515691,460,6.35,42000,0.1
3105.77,3117.752,3.781053934,-71.47519406,460,6.35,42000,0.1
3117.752,3129.758,3.781048811,-71.47530735,460,6.35,42000,0.1
3129.758,3141.749,3.781043679,-71.47542088,460,6.35,42000,0.1
3141.749,3153.74,3.781036097,-71.47553412,460,6.35,42000,0.1
